traceZipf0.27-7200_trc1.logPrecision = 8,,,,,,,,,,,,,
,,CacheSize: 0.2,,CacheSize: 0.4,,CacheSize: 0.6,,CacheSize: 0.8,,CacheSize: 1.0,,,
,InsertionProb,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss,,Cost Miss
,0.001,0.114049,0.386797,0.071389,0.249579,0.037741,0.144291,0.015878,0.063199,0.00E+00,0.00E+00,Cost Miss,0.00E+00
,0.005,0.095604,0.364407,0.061703,0.238774,0.035845,0.141239,0.015759,0.062672,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.01,0.090174,0.350928,0.058322,0.229162,0.034814,0.137894,0.015463,0.061521,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.02,0.088264,0.346616,0.05665,0.223297,0.034161,0.135517,0.015074,0.060007,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.05,0.088098,0.348599,0.0557,0.220808,0.03311,0.131468,0.014681,0.058451,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.1,0.090228,0.357697,0.056425,0.224244,0.033166,0.131989,0.01475,0.058738,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.2,0.09366,0.370092,0.058042,0.230612,0.033863,0.134704,0.014951,0.059435,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.3,0.096759,0.378195,0.059355,0.236006,0.034364,0.13669,0.015119,0.060139,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.4,0.099833,0.38426,0.06019,0.23917,0.034989,0.13911,0.015287,0.06085,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.5,0.103335,0.389605,0.060951,0.242129,0.035377,0.140816,0.015484,0.06174,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.6,0.106988,0.393205,0.061791,0.245186,0.035624,0.141749,0.015599,0.062244,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.7,0.111116,0.396813,0.062502,0.24719,0.035926,0.142915,0.015663,0.062547,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.8,0.115848,0.400512,0.063295,0.249525,0.036228,0.144212,0.015766,0.062876,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.9,0.120645,0.40351,0.06393,0.250886,0.036523,0.145361,0.01585,0.063269,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.95,0.122996,0.404552,0.064309,0.251748,0.036663,0.145955,0.01591,0.063476,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.99,0.125038,0.405697,0.064613,0.252413,0.036728,0.146197,0.015945,0.06363,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.991,0.12511,0.405823,0.064604,0.252342,0.03675,0.146312,0.015944,0.063631,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.995,0.125294,0.405884,0.064643,0.252469,0.03677,0.146385,0.015953,0.063645,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,0.9999,0.125569,0.406075,0.064705,0.252635,0.036775,0.146386,0.01595,0.063646,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,1,0.125575,0.406066,0.064703,0.252628,0.036781,0.146406,0.015952,0.063644,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,offline,0.0761012517,0.3018724,0.046196662,0.18273479,0.0261755216,0.103205666,0.0109841446,0.04311082,0,0,0.00E+00,0
